epoch,accuracy,loss,val_accuracy,val_loss
0,0.2916666567325592,1.1045607328414917,0.5,1.010962724685669
1,0.5833333134651184,0.9542076587677002,0.800000011920929,0.8589895367622375
2,0.6333333253860474,0.8763987421989441,0.800000011920929,0.7393943667411804
3,0.7749999761581421,0.757109522819519,0.8666666746139526,0.6414896845817566
4,0.75,0.6549100875854492,0.8666666746139526,0.5750969648361206
5,0.7749999761581421,0.5855178833007812,0.8666666746139526,0.5327180624008179
6,0.7749999761581421,0.5693963170051575,0.8666666746139526,0.5061730742454529
7,0.7666666507720947,0.5833103060722351,0.8666666746139526,0.4938279986381531
8,0.7916666865348816,0.5418190360069275,0.8666666746139526,0.49084708094596863
9,0.8333333134651184,0.5090535879135132,0.8666666746139526,0.4855399429798126
10,0.800000011920929,0.51805180311203,0.8666666746139526,0.47599920630455017
11,0.800000011920929,0.5035646557807922,0.8666666746139526,0.47275134921073914
12,0.8416666388511658,0.4720726013183594,0.8666666746139526,0.4679708480834961
13,0.8333333134651184,0.44814059138298035,0.8666666746139526,0.46552908420562744
14,0.8500000238418579,0.3974993824958801,0.8666666746139526,0.457051545381546
15,0.8416666388511658,0.4500523507595062,0.8666666746139526,0.4535386264324188
16,0.8583333492279053,0.4176999628543854,0.8999999761581421,0.4570251405239105
17,0.8583333492279053,0.4033908247947693,0.8666666746139526,0.4570465087890625
18,0.8666666746139526,0.4592074453830719,0.8666666746139526,0.4596565365791321
19,0.8833333253860474,0.4158969223499298,0.8999999761581421,0.46464481949806213
20,0.8500000238418579,0.43832841515541077,0.9333333373069763,0.46976137161254883
21,0.8916666507720947,0.3748318552970886,0.9333333373069763,0.4654642343521118
22,0.8666666746139526,0.4398113787174225,0.8999999761581421,0.4659707844257355
23,0.8916666507720947,0.40333670377731323,0.9333333373069763,0.4671744704246521
24,0.8833333253860474,0.3592667579650879,0.9333333373069763,0.4713425040245056
25,0.8833333253860474,0.395978182554245,0.9333333373069763,0.4720253348350525
26,0.8666666746139526,0.4055761396884918,0.9333333373069763,0.4715336859226227
27,0.8999999761581421,0.3070622384548187,0.9333333373069763,0.47407618165016174
28,0.8999999761581421,0.3311951756477356,0.9333333373069763,0.48030558228492737
29,0.8916666507720947,0.33423128724098206,0.9333333373069763,0.482336163520813
30,0.9333333373069763,0.3467760384082794,0.9333333373069763,0.48178228735923767
31,0.9166666865348816,0.35106366872787476,0.9333333373069763,0.4852617681026459
32,0.9166666865348816,0.37553584575653076,0.9333333373069763,0.4806407690048218
33,0.9166666865348816,0.3471360504627228,0.9333333373069763,0.4772874712944031
34,0.8916666507720947,0.3330571949481964,0.9333333373069763,0.48509228229522705
35,0.9166666865348816,0.3435916602611542,0.9333333373069763,0.4860306978225708
36,0.8999999761581421,0.348580926656723,0.9333333373069763,0.49661505222320557
37,0.9333333373069763,0.32546502351760864,0.9333333373069763,0.49998947978019714
38,0.9333333373069763,0.30455124378204346,0.9333333373069763,0.5000380873680115
39,0.9083333611488342,0.3448338508605957,0.9333333373069763,0.4933622181415558
40,0.9083333611488342,0.3390948474407196,0.9333333373069763,0.49253448843955994
41,0.9083333611488342,0.3087112605571747,0.9333333373069763,0.49315470457077026
42,0.9166666865348816,0.3132147490978241,0.9333333373069763,0.49575188755989075
43,0.9416666626930237,0.2447137087583542,0.9333333373069763,0.4993593990802765
44,0.9083333611488342,0.31256645917892456,0.9333333373069763,0.5081520676612854
45,0.9166666865348816,0.3018912971019745,0.9333333373069763,0.5125386118888855
46,0.9166666865348816,0.31895729899406433,0.9333333373069763,0.5169950723648071
47,0.8916666507720947,0.34939777851104736,0.9333333373069763,0.5125977396965027
48,0.9166666865348816,0.3409457206726074,0.9333333373069763,0.5173081755638123
49,0.9166666865348816,0.2951071560382843,0.9333333373069763,0.5144409537315369
